start	end	title	description	endpoint	priority	type	icon	resources
Birth Defects	Drugs	LINCS Drugs that Birth Defect Drug Similarity	An interface that provides access to LINCS drugs that collectively impact the expression of genes associated with birth defects	/BirthDefects	1	Tool	/static/icons/tool.png	["IDG", "Kids First", "LINCS", "SPARC"]
Genes	Birth Defects	ReproTox Knowledge Graph	Genes associated with birth defects and drugs drawn from the ReproTox KG CFDE partnership	/knowledge_graph/Gene	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Genes	Drugs	ReproTox Knowledge Graph	Genes associated with birth defects and drugs drawn from the ReproTox KG CFDE partnership	/knowledge_graph/Gene	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Drugs	Birth Defects	ReproTox Knowledge Graph	Drugs associated with birth defects and genes drawn from the ReproTox KG CFDE partnership	/knowledge_graph/Drug	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Drugs	Genes	ReproTox Knowledge Graph	Drugs associated with birth defects and genes drawn from the ReproTox KG CFDE partnership	/knowledge_graph/Drug	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Birth Defects	Genes	ReproTox Knowledge Graph	Birth defects associated with genes and drugs drawn from the ReproTox KG CFDE partnership	/knowledge_graph/BirthDefect	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Birth Defects	Drugs	ReproTox Knowledge Graph	Birth defects associated with genes and drugs drawn from the ReproTox KG CFDE partnership	/knowledge_graph/BirthDefect	1	Knowledge Graph	/static/icons/knowledge_graph.png	["IDG", "Kids First", "LINCS", "SPARC"]
Genes	Variants	Variant Knowledge from Common Fund Programs Appyter	An Appyter that uses APIs from different CF DCCs to generate a report about variants from multiple sources	https://appyters.maayanlab.cloud/#/CFDE-Gene-Partnership	1	Appyter	/static/icons/appyter.png	["GTEx", "exRNA"]
Genes	Genes	Gene Knowledge from Common Fund Programs Appyter	An Appyter that uses APIs from different CF DCCs to generate a report about human genes from multiple sources	https://appyters.maayanlab.cloud/#/CFDE-Gene-Partnership	1	Appyter	/static/icons/appyter.png	["GTEx", "LINCS", "Glycoscience", "exRNA", "HuBMAP", "IDG"]
Genes	Drugs	Drug Knowledge from Common Fund Programs Appyter	An Appyter that uses APIs from different CF DCCs to generate a report about drugs and other compounds from multiple sources	https://appyters.maayanlab.cloud/#/CFDE-Gene-Partnership	1	Appyter	/static/icons/appyter.png	["LINCS", "IDG"]
